dominio;documento;nome;uf;cidade;cep;data_cadastro;ultima_atualizacao;ticket
eletrobras.gov.br;000.001.180/0002-07;CENTRAIS ELETRICAS BRASILEIRAS SA;RJ;Rio de Janeiro;20071-003;09/01/1996 12:00;02/07/2014 19:56;5023
premioconservacaoenergia.gov.br;000.001.180/0002-07;CENTRAIS ELETRICAS BRASILEIRAS SA;RJ;Rio de Janeiro;20071-003;24/03/2009 20:07;15/04/2013 21:36;5379045
procel.gov.br;000.001.180/0002-07;CENTRAIS ELETRICAS BRASILEIRAS SA;RJ;Rio de Janeiro;20071-003;06/11/2000 18:41;05/10/2009 18:54;453438
proinfa.gov.br;000.001.180/0002-07;CENTRAIS ELETRICAS BRASILEIRAS SA;RJ;Rio de Janeiro;20071-003;18/04/2002 14:55;15/04/2013 21:36;784297
reluz.gov.br;000.001.180/0002-07;CENTRAIS ELETRICAS BRASILEIRAS SA;RJ;Rio de Janeiro;20071-003;06/11/2000 18:41;05/10/2009 18:35;453442
bacen.gov.br;000.038.166/0001-05;Banco Central do Brasil;DF;Brasília;70074-900;26/11/1996 11:00;17/06/2015 22:19;0
bancocentral.gov.br;000.038.166/0001-05;Banco Central do Brasil;DF;Brasília;70074-900;31/12/1998 00:24;17/06/2015 22:20;135008
bc.gov.br;000.038.166/0001-05;Banco Central do Brasil;DF;Brasília;70074-900;30/12/1998 18:22;17/06/2015 22:20;133801
bcb.gov.br;000.038.166/0001-05;Banco Central do Brasil;DF;Brasília;70074-900;24/01/1996 12:00;17/06/2015 22:20;5153
cidadaniafinanceira.gov.br;000.038.166/0001-05;Banco Central do Brasil;DF;Brasília;70074-900;31/03/2015 16:27;17/06/2015 22:21;13971449
sisbacen.gov.br;000.038.166/0001-05;Banco Central do Brasil;DF;Brasília;70074-900;31/12/1998 00:24;18/05/2016 21:19;135007
selic.gov.br;000.038.166/0010-98;Banco Central do Brasil;RJ;Rio de Janeiro;20071-001;28/07/2010 12:18;30/03/2011 02:25;7082360
dnocs.gov.br;000.043.711/0001-43;DEPARTAMENTO NACIONAL DE OBRAS CONTRA AS SECAS;CE;Fortaleza;60035-111;10/02/1999 19:09;04/09/2015 14:09;139185
dnocspb.gov.br;000.043.711/0008-10;Segundo Distrito de Engenharia Rural;PB;João Pessoa;58030-000;14/06/1999 16:47;11/03/2016 13:47;165937
fhdf.gov.br;000.054.015/0001-32;Secretaria de Saúde do Distrito Federal;DF;Brasília;70335-902;01/01/1996 12:00;19/02/2008 20:18;0
funai.gov.br;000.059.311/0001-26;Fundação Nacional do Indio;DF;Brasília;70390-025;10/02/1998 13:07;24/07/2013 16:20;83785
museudoindio.gov.br;000.059.311/0002-07;Museu do Índio - Fundação Nacional do Índio;RJ;Rio de Janeiro;22270-070;23/10/2003 16:28;11/05/2016 12:47;1373769
eletrosul.gov.br;000.073.957/0001-68;Eletrosul Centrais Elétricas S.A.;SC;Florianópolis;88040-901;27/07/1996 12:00;29/12/2014 18:59;12785
bcdam.gov.br;000.091.652/0002-60;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;RJ;Rio de Janeiro;22290-240;22/03/1999 18:29;05/08/2015 18:20;145756
cprm.gov.br;000.091.652/0002-60;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;RJ;Rio de Janeiro;22290-240;16/02/1996 12:00;25/11/2015 15:20;5443
redegeochronos.gov.br;000.091.652/0002-60;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;RJ;Rio de Janeiro;22290-240;19/05/2006 11:22;24/04/2014 17:36;2788606
cprm-ma.gov.br;000.091.652/0004-21;Companhia de Pesquisa de Recursos Minerais CPRM;AM;Manaus;69060-001;23/01/2001 12:07;30/12/2002 14:57;500371
cprm-be.gov.br;000.091.652/0005-02;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;PA;Belem;66120-680;18/01/1997 11:00;01/08/2001 22:07;28066
cprmba.gov.br;000.091.652/0007-74;Companhia de Pesquisa de Recursos Minerais;BA;Salvador;41213-000;09/03/2001 12:12;22/06/2002 14:25;523307
